iter	Passed	Remaining
656	63751	227350
657	63847	227250
658	63935	227121
659	64027	227007
660	64121	226897
661	64216	226793
662	64312	226695
663	64403	226576
664	64484	226422
665	64570	226286
666	64665	226182
667	64756	226067
668	64847	225949
669	64939	225833
670	65029	225711
671	65115	225577
672	65203	225452
673	65293	225328
674	65378	225192
675	65470	225078
676	65555	224940
677	65650	224837
678	65738	224710
679	65822	224570
680	65916	224464
681	66014	224373
682	66108	224267
683	66199	224148
684	66295	224049
685	66397	223970
686	66670	224468
687	66890	224782
688	66994	224709
689	67095	224625
690	67203	224564
691	67310	224497
692	67416	224431
693	67535	224405
694	67644	224346
695	67750	224278
696	67863	224233
697	67990	224233
698	68103	224185
699	68219	224151
700	68344	224142
701	68452	224079
702	68568	224042
703	68686	224012
704	68795	223950
705	68925	223959
706	69027	223876
707	69136	223816
708	69234	223718
709	69332	223622
710	69445	223572
711	69540	223468
712	69634	223358
713	69724	223235
714	69827	223154
715	69921	223047
716	70017	222943
717	70115	222844
718	70222	222778
719	70316	222670
720	70409	222556
721	70518	222493
722	70605	222363
723	70704	222270
724	70796	222154
725	70904	222090
726	71008	222012
727	71108	221922
728	71196	221793
729	71301	221719
730	71412	221661
731	71510	221566
732	71605	221460
733	71694	221334
734	71779	221198
735	71879	221108
736	71974	221002
737	72076	220915
738	72165	220792
739	72260	220686
740	72357	220587
741	72450	220475
742	72545	220369
743	72632	220240
744	72724	220125
745	72818	220015
746	72913	219912
747	73012	219818
748	73291	220264
749	73406	220218
750	73503	220117
751	73604	220029
752	73729	220014
753	73823	219904
754	73931	219835
755	74084	219902
756	74316	220200
757	74417	220110
758	74519	220025
759	74616	219923
760	74713	219819
761	74871	219897
762	75010	219917
763	75111	219829
764	75220	219761
765	75319	219665
766	75414	219558
767	75509	219448
768	75611	219362
769	75714	219277
770	75811	219174
771	75898	219043
772	75988	218921
773	76087	218824
774	76184	218722
775	76280	218619
776	76374	218506
777	76473	218410
778	76565	218295
779	76654	218169
780	76749	218062
781	76836	217934
782	76928	217817
783	77028	217723
784	77125	217620
785	77218	217508
786	77315	217406
787	77411	217301
788	77508	217199
789	77599	217082
790	77686	216953
791	77782	216848
792	77867	216713
793	77959	216596
794	78049	216477
795	78145	216372
796	78235	216251
797	78331	216148
798	78420	216023
799	78507	215895
800	78601	215787
801	78693	215670
802	78783	215551
803	78874	215433
804	78974	215340
805	79060	215210
806	79157	215109
807	79249	214992
808	79355	214917
809	79439	214781
810	79528	214657
811	79622	214549
812	79721	214452
813	79812	214337
814	79906	214228
815	80010	214146
816	80099	214024
817	80197	213926
818	80294	213824
819	80385	213708
820	80476	213590
821	80560	213455
822	80654	213348
823	80747	213236
824	80843	213132
825	80936	213021
826	81025	212899
827	81122	212799
828	81218	212695
829	81306	212573
830	81397	212456
831	81496	212360
832	81592	212258
833	81689	212157
834	81783	212049
835	81875	211936
836	81968	211825
837	82061	211715
838	82151	211596
839	82247	211494
840	82331	211360
841	82418	211234
842	82515	211132
843	82606	211017
844	82691	210887
845	82782	210772
846	82873	210656
847	82965	210545
848	83057	210433
849	83172	210377
850	83263	210261
851	83353	210145
852	83451	210046
853	83541	209929
854	83631	209812
855	83729	209714
856	83825	209612
857	83921	209509
858	84015	209403
859	84110	209299
860	84206	209195
861	84299	209086
862	84392	208977
863	84489	208877
864	84581	208765
865	84678	208664
866	84777	208569
867	84870	208460
868	84964	208353
869	85071	208277
870	85164	208169
871	85255	208054
872	85352	207954
873	85448	207852
874	85548	207760
875	85644	207658
876	85728	207527
877	85819	207414
878	85916	207314
879	86007	207199
880	86096	207081
881	86189	206971
882	86274	206844
883	86369	206738
884	86466	206640
885	86557	206525
886	86641	206397
887	86734	206287
888	86828	206180
889	86923	206076
890	87009	205951
891	87099	205836
892	87192	205727
893	87287	205622
894	87382	205518
895	87463	205383
896	87560	205283
897	87653	205175
898	87749	205073
899	87844	204969
900	87934	204854
901	88029	204751
902	88123	204645
903	88215	204534
904	88312	204437
905	88404	204326
906	88628	204520
907	88835	204674
908	88925	204557
909	89022	204459
910	89108	204333
911	89200	204223
912	89302	204133
913	89395	204026
914	89493	203927
915	89586	203819
916	89680	203713
917	89769	203594
918	89862	203486
919	89949	203364
920	90048	203268
921	90140	203158
922	90235	203054
923	90332	202954
924	90427	202851
925	90515	202731
926	90613	202634
927	90711	202537
928	90804	202428
929	90887	202296
930	90971	202169
931	91063	202059
932	91149	201936
933	91241	201824
934	91339	201728
935	91435	201626
936	91527	201515
937	91619	201405
938	91705	201282
939	91798	201175
940	91886	201055
941	91983	200957
942	92075	200846
943	92163	200728
944	92254	200616
945	92351	200517
946	92441	200404
947	92536	200300
948	92617	200167
949	92704	200047
950	92792	199928
951	92889	199830
952	92982	199723
953	93074	199612
954	93165	199501
955	93263	199404
956	93350	199283
957	93444	199178
958	93545	199088
959	93631	198967
960	93727	198866
961	93820	198758
962	93912	198650
963	93996	198524
964	94084	198406
965	94170	198284
966	94264	198179
967	94356	198071
968	94452	197969
969	94540	197852
970	94634	197749
971	94729	197644
972	94825	197544
973	94915	197433
974	95011	197332
975	95107	197231
976	95197	197118
977	95300	197032
978	95401	196941
979	95495	196836
980	95585	196725
981	95679	196619
982	95774	196517
983	95869	196415
984	95959	196302
985	96048	196188
986	96136	196071
987	96226	195960
988	96315	195845
989	96409	195741
990	96504	195637
991	96592	195522
992	96687	195419
993	96773	195300
994	96868	195198
995	96958	195086
996	97046	194969
997	97140	194864
998	97233	194758
999	97325	194650
1000	97423	194554
1001	97509	194434
1002	97606	194337
1003	97701	194235
1004	97798	194136
1005	97890	194028
1006	97975	193907
1007	98069	193803
1008	98156	193686
1009	98250	193582
1010	98343	193477
1011	98434	193366
1012	98519	193245
1013	98609	193134
1014	98696	193017
1015	98787	192907
1016	98882	192805
1017	98965	192682
1018	99060	192579
1019	99151	192470
1020	99246	192368
1021	99338	192262
1022	99433	192160
1023	99535	192072
1024	99629	191968
1025	99718	191856
1026	99819	191766
1027	99914	191664
1028	100001	191548
1029	100098	191450
1030	100185	191333
1031	100292	191255
1032	100385	191151
1033	100485	191058
1034	100580	190956
1035	100667	190840
1036	100749	190715
1037	100841	190607
1038	100928	190490
1039	101019	190382
1040	101111	190276
1041	101203	190169
1042	101300	190071
1043	101388	189957
1044	101480	189851
1045	101568	189736
1046	101662	189634
1047	101754	189527
1048	101845	189419
1049	101928	189296
1050	102017	189183
1051	102111	189081
1052	102210	188987
1053	102297	188872
1054	102389	188765
1055	102489	188673
1056	102578	188561
1057	102673	188461
1058	102765	188354
1059	102857	188248
1060	102943	188131
1061	103032	188019
1062	103134	187931
1063	103223	187820
1064	103311	187706
1065	103409	187612
1066	103504	187511
1067	103594	187401
1068	103689	187300
1069	103772	187179
1070	103867	187077
1071	103951	186957
1072	104047	186858
1073	104136	186748
1074	104230	186646
1075	104320	186536
1076	104416	186438
1077	104511	186336
1078	104600	186224
1079	104693	186122
1080	104777	186002
1081	104867	185893
1082	104946	185763
1083	105036	185655
1084	105126	185544
1085	105215	185435
1086	105308	185331
1087	105396	185217
1088	105490	185117
1089	105582	185011
1090	105675	184907
1091	105764	184797
1092	105858	184696
1093	105946	184582
1094	106035	184472
1095	106130	184372
1096	106227	184276
1097	106313	184160
1098	106407	184058
1099	106495	183945
1100	106579	183828
1101	106673	183726
1102	106773	183634
1103	106864	183528
1104	106952	183415
1105	107046	183314
1106	107135	183204
1107	107232	183108
1108	107324	183003
1109	107421	182907
1110	107510	182796
1111	107596	182681
1112	107687	182575
1113	107784	182478
1114	107874	182370
1115	107973	182277
1116	108061	182167
1117	108161	182075
1118	108260	181981
1119	108359	181889
1120	108442	181770
1121	108526	181651
1122	108629	181565
1123	108713	181446
1124	108794	181324
1125	108888	181223
1126	108969	181100
1127	109055	180985
1128	109149	180884
1129	109251	180796
1130	109342	180690
1131	109435	180587
1132	109529	180487
1133	109614	180371
1134	109702	180259
1135	109797	180159
1136	109883	180047
1137	109975	179941
1138	110071	179843
1139	110166	179744
1140	110256	179637
1141	110347	179532
1142	110435	179420
1143	110532	179325
1144	110618	179212
1145	110706	179101
1146	110797	178995
1147	110888	178890
1148	110979	178784
1149	111072	178682
1150	111164	178577
1151	111258	178477
1152	111352	178376
1153	111444	178273
1154	111544	178180
1155	111632	178070
1156	111724	177967
1157	111813	177858
1158	111900	177746
1159	111991	177641
1160	112090	177549
1161	112187	177453
1162	112282	177354
1163	112373	177248
1164	112466	177147
1165	112562	177050
1166	112648	176936
1167	112741	176834
1168	112839	176740
1169	112937	176645
1170	113034	176550
1171	113129	176451
1172	113223	176350
1173	113315	176247
1174	113411	176149
1175	113506	176050
1176	113597	175945
1177	113688	175841
1178	113775	175730
1179	113871	175631
1180	113968	175535
1181	114065	175440
1182	114167	175352
1183	114260	175250
1184	114356	175154
1185	114444	175043
1186	114534	174937
1187	114629	174838
1188	114726	174742
1189	114817	174638
1190	114910	174537
1191	115001	174431
1192	115092	174327
1193	115183	174222
1194	115273	174116
1195	115375	174028
1196	115467	173924
1197	115566	173832
1198	115656	173726
1199	115744	173616
1200	115836	173513
1201	115922	173401
1202	116017	173303
1203	116119	173214
1204	116216	173119
1205	116302	173007
1206	116390	172898
1207	116476	172786
1208	116556	172666
1209	116659	172579
1210	116749	172472
1211	116837	172364
1212	116928	172259
1213	117017	172152
1214	117115	172058
1215	117212	171962
1216	117306	171863
1217	117399	171761
1218	117493	171662
1219	117584	171558
1220	117676	171455
1221	117767	171350
1222	117865	171257
1223	117961	171160
1224	118056	171061
1225	118150	170961
1226	118249	170868
1227	118341	170766
1228	118432	170661
1229	118522	170557
1230	118612	170450
1231	118708	170354
1232	118793	170241
1233	118890	170145
1234	118986	170050
1235	119077	169944
1236	119168	169841
1237	119262	169742
1238	119350	169633
1239	119437	169524
1240	119531	169424
1241	119616	169312
1242	119709	169211
1243	119804	169113
1244	119894	169008
1245	119978	168894
1246	120068	168788
1247	120172	168703
1248	120268	168607
1249	120366	168513
1250	120453	168403
1251	120541	168296
1252	120632	168192
1253	120729	168097
1254	120827	168002
1255	120914	167894
1256	121008	167794
1257	121097	167688
1258	121194	167593
1259	121288	167494
1260	121377	167387
1261	121471	167288
1262	121568	167193
1263	121663	167094
1264	121750	166985
1265	121847	166890
1266	121941	166791
1267	122038	166696
1268	122133	166598
1269	122216	166484
1270	122311	166385
1271	122399	166278
1272	122492	166177
1273	122585	166077
1274	122670	165966
1275	122764	165866
1276	122861	165772
1277	122958	165677
1278	123052	165576
1279	123148	165480
1280	123240	165378
1281	123329	165273
